Dugong,Vulnerable,Dugong dugon,over 800 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Dugong_swimming/hero_small/2g601hto8u_Medium_WW1221.jpg
Giant Panda,Vulnerable,Ailuropoda melanoleuca,220–330 pounds,Temperate broadleaf and mixed forests of southwest China,https://files.worldwildlife.org/wwfcmsprod/images/Panda_in_Tree/hero_small/99i33zyc0l_Large_WW170579.jpg
Giant Tortoise,Vulnerable,Unknown,up to 700 pounds,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Giant_Tortoise/hero_small/1cylh0cts4_Medium_WW288394.jpg
Great White Shark,Vulnerable,Carcharodon carcharias,4000-7000 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Great_White_Shark_Circle_and_Hero_Image/hero_small/4xiu3sxbqd_Species_Great_White_Shark_WWF_Carlos_Aguilera.jpg
Greater One-Horned Rhino,Vulnerable,Rhinoceros unicornis,4000-6000 pounds,Tropical and Subtropical Grasslands, Savannas, and Shrublands,https://files.worldwildlife.org/wwfcmsprod/images/Greater_One_Horned_Rhino_8.6.2012_Hero_and_Circle_HI_107996.jpg/hero_small/t0osmdlpd_Greater_One_Horned_Rhino_8.6.2012_Hero_and_Circle_HI_107996.jpg
Hippopotamus,Vulnerable,Hippopotamus amphibius,Unknown,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/Hippos_Hero/hero_small/5pvm5wsdjg_Medium_WW1113453.jpg
Leatherback Turtle,Vulnerable,Dermochelys coriacea,600-1500 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/SCR_289416.jpg/hero_small/5k7ehzud2_SCR_289416.jpg
Loggerhead Turtle,Vulnerable,Caretta caretta,175-400 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Loggerhead_Turtle/hero_small/xzgw4m6ko_MID_110648loggerhead_hero.jpg
Marine Iguana,Vulnerable,Amblyrhynchus cristatus,Unknown,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Marine_Iguana_Ecuador/hero_small/7dea8hvmif_Medium_WW288386.jpg
Olive Ridley Turtle,Vulnerable,Lepidochelys olivacea,75-110 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/7.09.2012.OliveRidleyTurtle.Circle/hero_small/3otqh46cr_HI_287332Circle.jpg
Polar Bear,Vulnerable,Ursus maritimus,800–1300 pounds (males) 300-700 (females),Arctic Ocean, sea ice, and adjacent coastal areas,https://files.worldwildlife.org/wwfcmsprod/images/Polar_bear_on_ice_in_Svalbard_Norway_WW294883/hero_small/85px6g3dhv_Polar_bear_on_ice_in_Svalbard_Norway_WW294883.jpg
Snow Leopard,Vulnerable,Panthera uncia,60-120 lbs.,high mountains,https://files.worldwildlife.org/wwfcmsprod/images/Snow_Leopard_hero_species_2021/hero_small/8hwbyi3z8p_species_snowleopard_hero.jpg
Southern rockhopper penguin,Vulnerable,Eudyptes chrysocome,Unknown,Oceans and coasts,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Rockhopper_Penguin/hero_small/6br81b87ta_Penguin_Carousel_Image1_286510.jpg
Beluga,Near Threatened,Delphinapterus leucas,1500-3500 pounds (up to 1.5 tons),Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Chuchill_And_Arctic_Summer_Beluga_travel_8.16.2012/hero_small/7i55m4jsep_beluga_whale_Kevin_Schafer_WWF_Canon.jpg
